id	type	x	y	z	theta	gyokaku	range	spotAngle	intensity	color
1	spot	-90.86842105263158	103.5	91.0	0	0	200	90	1.7	0.7610204044223144,0.9658281097094648,0.9134734371192158,1
2	spot	0	103.5	151.5	0	0	200	90	1.7	0.7610204044223144,0.9658281097094648,0.9134734371192158,1
3	spot	57.68421052631578	103.5	94.0	0	0	200	60	1.7	0.7610204044223144,0.9658281097094648,0.9134734371192158,1
3	spot	-85.98684210526315	103.5	170.7631578947368	40	270	200	25	2.0	0.7610204044223144,0.9658281097094648,0.9134734371192158,1
4	spot	-49.59210526315789	103.5	170.7631578947368	40	270	200	25	2.0	0.7610204044223144,0.9658281097094648,0.9134734371192158,1
5	spot	-13.19736842105263	103.5	170.7631578947368	40	270	200	25	2.0	0.7610204044223144,0.9658281097094648,0.9134734371192158,1
6	spot	23.19736842105263	103.5	170.7631578947368	40	270	200	25	2.0	0.7610204044223144,0.9658281097094648,0.9134734371192158,1
7	spot	59.59210526315789	103.5	170.7631578947368	40	270	200	25	2.0	0.7610204044223144,0.9658281097094648,0.9134734371192158,1
8	spot	64.18421052631578	103.5	116.84210526315788	40	0	200	25	2.0	0.7610204044223144,0.9658281097094648,0.9134734371192158,1
9	spot	-32.09210526315789	103.5	114.51694736842103	60	180	200	40	3.6	0.7610204044223144,0.9658281097094648,0.9134734371192158,1
