ID	data	wallCenter	wallRight	wallUp	wallFront	x	y	z	size	frameTitle	parent	uniqueCode
1	./Images/10003/title_panel.png	-25.0,28.656,12	0,0,1	0,1,0	-1,0,0	0	-2.600999	0.2	1.4	none(caption)	4:3	22
1	./Images/10003/title_panel.png	-25.0,28.656,12	0,0,1	0,1,0	-1,0,0	0	-2.600999	0.2	1.4	none(caption)	4:3	22
1	./Images/10003/word_cloud.png	0,38,240.9477631578947	1,0,0	0,1,0	0,0,1	0	5	0.2	4	Wooden_thin2	-1:-1	23
2	./Images/10003/Jiaozi-close-look.jpg	-48.75,38,122.3157894736842	0,0,1	0,1,0	-1,0,0	-48.6578947368421	0	0.2	3	Wooden_thin	-1:-1	3
3	./Images/10003/caption/caption0.png	-48.75,38,122.3157894736842	0,0,1	0,1,0	-1,0,0	-26.657894736842103	-10	0.3	0.7	none(caption)	-1:-1	4
4	./Images/10003/MakingJiaozi.jpg	-48.75,38,122.3157894736842	0,0,1	0,1,0	-1,0,0	58.657894736842096	0	0.2	3	Wooden_thin	-1:-1	5
5	./Images/10003/caption/caption1.png	-48.75,38,122.3157894736842	0,0,1	0,1,0	-1,0,0	80.6578947368421	-10	0.3	0.7	none(caption)	-1:-1	6
6	./Images/10003/Shrimp jiaozi and xiaolongbao in Kobe by OpenCage.jpg	48.75,38,122.3157894736842	0,0,-1	0,1,0	1,0,0	61.1578947368421	0	0.2	3	Wooden_thin	-1:-1	7
7	./Images/10003/caption/caption2.png	48.75,38,122.3157894736842	0,0,-1	0,1,0	1,0,0	83.15789473684211	-10	0.3	0.7	none(caption)	-1:-1	8
8	./Images/10003/Potstickers_RTE.jpg	48.75,38,122.3157894736842	0,0,-1	0,1,0	1,0,0	-61.157894736842096	0	0.2	3	Wooden_thin	-1:-1	9
9	./Images/10003/caption/caption3.png	48.75,38,122.3157894736842	0,0,-1	0,1,0	1,0,0	-39.157894736842096	-10	0.3	0.7	none(caption)	-1:-1	10
