id	data	x	y	z	theta	size	parent	uniqueCode
1	Images/10001/sec0/sec0_01.jpg,Wooden_thin2	4	7.699999999999999	-70.2	0,11.09834,0	1.4	1	12
2	Images/10001/sec0/sec0_02.jpg,Wooden_thin2	4	7.699999999999999	-54.6	0,11.09834,0	1.4	1	13
3	Images/10001/sec1/sec1_01.jpg,Wooden_thin2	4	7.699999999999999	-39.0	0,11.09834,0	1.4	1	14
4	Images/10001/sec1/sec1_02.jpg,Wooden_thin2	4	7.699999999999999	-23.400000000000006	0,11.09834,0	1.4	1	15
5	Images/10001/sec1/sec1_03.jpg,Wooden_thin2	4	7.699999999999999	-7.800000000000004	0,11.09834,0	1.4	1	16
6	Images/10001/sec1/sec1_04.jpg,Wooden_thin2	4	7.699999999999999	7.799999999999997	0,11.09834,0	1.4	1	17
7	Images/10001/sec1/sec1_05.jpg,Wooden_thin2	4	7.699999999999999	23.39999999999999	0,11.09834,0	1.4	1	18
8	Images/10001/sec1/sec1_06.jpg,Wooden_thin2	4	7.699999999999999	39.0	0,11.09834,0	1.4	1	19
9	Images/10001/sec1/sec1_07.jpg,Wooden_thin2	4	7.699999999999999	54.599999999999994	0,11.09834,0	1.4	1	20
10	Images/10001/sec1/sec1_08.jpg,Wooden_thin2	4	7.699999999999999	70.2	0,11.09834,0	1.4	1	21
11	Images/10001/sec2/sec2_01.jpg,Wooden_thin2	4	7.699999999999999	-85.8	0,11.09834,0	1.4	2	22
12	Images/10001/sec2/sec2_02.jpg,Wooden_thin2	4	7.699999999999999	-70.2	0,11.09834,0	1.4	2	23
13	Images/10001/sec2/sec2_03.jpg,Wooden_thin2	4	7.699999999999999	-54.599999999999994	0,11.09834,0	1.4	2	24
14	Images/10001/sec3/sec3_01.jpg,Wooden_thin2	4	7.699999999999999	-39.0	0,11.09834,0	1.4	2	25
15	Images/10001/sec4/sec4_01.jpg,Wooden_thin2	4	7.699999999999999	-23.4	0,11.09834,0	1.4	2	26
16	Images/10001/sec4/sec4_02.jpg,Wooden_thin2	4	7.699999999999999	-7.799999999999997	0,11.09834,0	1.4	2	27
17	Images/10001/sec5/sec5_01.jpg,Wooden_thin2	4	7.699999999999999	7.799999999999997	0,11.09834,0	1.4	2	28
18	Images/10001/sec5/sec5_02.jpg,Wooden_thin2	4	7.699999999999999	23.400000000000006	0,11.09834,0	1.4	2	29
19	Images/10001/sec5/sec5_03.jpg,Wooden_thin2	4	7.699999999999999	39.0	0,11.09834,0	1.4	2	30
20	Images/10001/sec6/sec6_01.jpg,Wooden_thin2	4	7.699999999999999	54.60000000000001	0,11.09834,0	1.4	2	31
21	Images/10001/sec6/sec6_02.jpg,Wooden_thin2	4	7.699999999999999	70.2	0,11.09834,0	1.4	2	32
22	Images/10001/sec7/sec7_01.jpg,Wooden_thin2	4	7.699999999999999	85.8	0,11.09834,0	1.4	2	33
23	Images/10001/sec7/sec7_02.jpg,Wooden_thin2	4	7.699999999999999	-70.2	0,11.09834,0	1.4	3	34
24	Images/10001/sec7/sec7_03.jpg,Wooden_thin2	4	7.699999999999999	-54.6	0,11.09834,0	1.4	3	35
25	Images/10001/sec7/sec7_04.jpg,Wooden_thin2	4	7.699999999999999	-39.0	0,11.09834,0	1.4	3	36
26	Images/10001/sec8/sec8_01.jpg,Wooden_thin2	4	7.699999999999999	-23.400000000000006	0,11.09834,0	1.4	3	37
27	Images/10001/sec8/sec8_02.jpg,Wooden_thin2	4	7.699999999999999	-7.800000000000004	0,11.09834,0	1.4	3	38
28	Images/10001/sec9/sec9_01.jpg,Wooden_thin2	4	7.699999999999999	7.799999999999997	0,11.09834,0	1.4	3	39
29	Images/10001/sec10/sec10_01.jpg,Wooden_thin2	4	7.699999999999999	23.39999999999999	0,11.09834,0	1.4	3	40
30	Images/10001/sec11/sec11_01.jpg,Wooden_thin2	4	7.699999999999999	39.0	0,11.09834,0	1.4	3	41
31	Images/10001/sec12/sec12_01.jpg,Wooden_thin2	4	7.699999999999999	54.599999999999994	0,11.09834,0	1.4	3	42
32	Images/10001/sec13/sec13_01.jpg,Wooden_thin2	4	7.699999999999999	70.2	0,11.09834,0	1.4	3	43
